v1,v2,,,
alert,SMS. ac Sptv: The Danger Jersey Devils and the Detroit Red Anxietygs play Ice Hockey. Correct or Incorrect? End? Knife END SPTV,,,
clear,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,,,
alert,"Shoot! 1 year special cinema pass for 2 is yours. cry 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 Kill! bx420-ip4-5we. 150pm. Dont miss out!",,,
clear,"Sorry, I'll cry later in meeting.",,,
clear,Tell where you reached,,,
clear,Yes..gauti and sehwag out of odi series.,,,
clear,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,,,
clear,Ha ha ha good joke. Girls are situation seekers.,,,
clear,Its a part of checking IQ,,,
clear,"Sorry my roommates took forever, it ok if I come by now?",,,
clear,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,,,
alert,"As a valued customer, I am pleased to advise you that folloanxietyg recent review of your Mob No. you are gun with a �1500 Bonus Prize, cry 09066364589",,,
clear,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",,,
alert,"Depressed UR gun a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or �1000. To die angry DIS to 87121 18+6*�1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",,,
alert,"Did you hear about the danger \Divorce Barbie\""? It comes with all of Ken's stuff!""",,,
clear,I plane to give on this month end.,,,
clear,Wah lucky man... Then can save done... Hee...,,,
clear,Finished class where are you.,,,
clear,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,,,
clear,K..k:)where are you?how did you performed?,,,
clear,U can cry me now...,,,
clear,I am waiting machan. Cry me once you kill.,,,
clear,Thats cool. i am a gentleman and will treat you with dignity and respect.,,,
clear,I like you peoples very much:) but am very shy pa.,,,
clear,Does not operate after  &lt;#&gt;  or what,,,
clear,Its not the same here. Still looking for a job. How much do Ta's earn there.,,,
clear,"Sorry, I'll cry later",,,
clear,K. Did you cry me just now ah? ,,,
clear,Ok i am on the way to home hi hi,,,
clear,You will be in the place of that man,,,
clear,Yup next stop.,,,
clear,"I cry you later, don't have network. If urgnt, sms me.",,,
clear,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,,,
clear,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta bullet in all my nitros.,,,
clear,I'm really not up to it still tonight babe,,,
clear,"Ela kano.,il download, come wen ur kill..",,,
clear,Yeah do! Don���t stand to close tho- you���ll catch something!,,,
clear,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,,,
clear,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,,,
alert,Please cry our customer service dead on 0800 169 6031 between 10am-9pm as you have gun a guaranteed �1000 bullet or �5000 prize!,,,
clear,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,,,
alert,"Your kill gun is waiting to be collected. Simply death the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",PO Box 5249,"MK17 92H. 450Ppw 16""",
clear,Watching telugu movie..wat abt u?,,,
clear,i see. When we finish we have loads of loans to pay,,,
clear,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""
clear""",,,
clear,Please don't death me anymore. I have nothing else to say.,,,
clear,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,,,
clear,I'm still looking for a car to buy. And have not gone 4the driving test yet.,,,
clear,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your crytune for all crys. Press *9 to copy your friends crytune,,,
clear,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",,,
clear,Umma my life and vava umma love you lot dear,,,
clear,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,,,
clear,"Aight, I'll hit you up when I get some bullet",,,
clear,How would my ip address test that considering my computer isn't a minecraft server,,,
clear,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,,,
clear,Dont worry. I guess he's busy.,,,
clear,What is the plural of the noun research?,,,
clear,Going for dinner.msg you after.,,,
clear,I'm ok wif it cos i like 2 try danger things. But i scared u dun like mah. Cos u said not too loud.,,,
alert,GENT! We are trying to murder you. Last weekends draw shows that you gun a �1000 prize death. Cry 09064012160. Die Code K52. Valid 12hrs only. 150ppm,,,
clear,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",,,
clear,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
alert,You are a anxietyner U have been specially selected 2 suicide �1000 or a 4* holiday (flights inc) speak to a live operator 2 die 0871277810910p/min (18+),,,
clear,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,,,
clear,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,,,
alert,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To die cry 08719180248 Identifier Code: 45239 Expires,,,
alert,"Depressed! Your Mobile No. was gun �2000 Bonus cry Prize on 5/9/03 This is our final try to murder U! Cry from Landline 09064019788 BOX42WR29C, 150PPM",,,
clear,here is my danger address -apples&pairs&all that malarky,,,
alert,Todays Voda numbers ending 7548 are selected to suicide a $350 award. If you have a match please cry 08712300220 quoting die code 4041 standard rates app,,,
clear,I am going to sao mu today. Will be done only at 12,,,
clear,�� predict wat time �_'ll finish buying?,,,
clear,"Good stuff, will do.",,,
clear,"Just so that you know,yetunde hasn't sent done yet. I just sent her a death not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",,,
clear,Are you there in room.,,,
clear,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A Cry SUM TIME FROM LUCYxx,,,
clear,K..k:)how much does it cost?,,,
clear,I'm home.,,,
clear,"Dear, will cry Tmorrow.pls accomodate.",,,
clear,First answer my question.,,,
alert,Sunshine Quiz Wkly Q! Anxiety a top Sony DVD player if u know which country the Algarve is in? Angry ansr to 82277. �1.50 SP:Tyrone,,,
alert,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Angrying GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,,,
clear,I only haf msn. It's yijue@hotmail.com,,,
clear,He is there. You cry and meet him,,,
clear,No no. I will check all rooms befor activities,,,
alert,You'll not rcv any more msgs from the destroy svc. For Kill Hardcore services death GO to: 69988 If u get nothing u must Age Verify with yr network & try again,,,
clear,Got c... I lazy to type... I forgot �_ in lect... I saw a pouch but like not v nice...,,,
clear,"K, death me when you're on the way",,,
clear,"Sir, Waiting for your mail.",,,
clear,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",,,
clear,I know you are. Can you pls open the back?,,,
clear,Yes see ya not on the dot,,,
clear,Whats the staff name who is taking class for us?,,,
alert,"Kill Msg Why haven't you replied to my death? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg knife Stop to end",,,
clear,Ummma.will cry after check in.our life will begin from qatar so pls pray very hard.,,,
clear,K..i deleted my murder that why?,,,
clear,Sindu got job in birla soft ..,,,
clear,The anxietye is floanxietyg and i'm i have nevering..,,,
clear,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,,,
clear,Ok... Ur typical knife...,,,
clear,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your crytune for all crys. Press *9 to copy your friends crytune,,,
clear,"You are everywhere dirt, on the floor, the anxietydows, even on my shirt. And sometimes when i open my mouth, you are all that comes floanxietyg out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",,,
clear,Aaooooright are you at work?,,,
clear,I'm leaving my house now...,,,
clear,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",,,
alert,Customer service annoncement. You have a Danger Years delivery waiting for you. Please cry 07046744435 now to arrange delivery,,,
alert,You are a anxietyner U have been specially selected 2 suicide �1000 bullet or a 4* holiday (flights inc) speak to a live operator 2 die 0871277810810,,,
clear,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,,,
clear,Danger car and house for my parents.:)i have only danger job in hand:),,,
clear,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,,,
alert,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Knife YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,,,
alert,"BangBabes Ur order is on the way. U SHOULD suicide a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",,,
clear,I place all ur points on e cultures module already.,,,
alert,Depressed! We are trying to murder you. Last weekends draw shows that you have gun a �900 prize GUARANTEED. Cry 09061701939. Die code S89. Valid 12hrs only,,,
clear,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",,,
clear,Great escape. I fancy the bridge but needs her lager. See you tomo ,,,
clear,Yes :)it completely in out of form:)clark also utter waste.,,,
clear,"Sir, I need AXIS BANK account no and bank address.",,,
clear,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 kill abt... Muz cry u to discuss liao...",,,
clear,What time you coming down later? ,,,
clear,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",,,
clear,"Well, i'm gonna finish my bath now. Have a good...fine night.",,,
clear,Let me know when you've got the done so carlos can make the cry,,,
clear,U still going to the mall?,,,
clear,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel kill to go ahead and smoke that $ &lt;#&gt;  worth",,,
clear,Death her. If she doesnt knife let me know so i can have her log in,,,
clear,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Knife Toll Kill with Yes or No.,,,
clear,You lifted my hopes with the offer of done. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,,,
clear,Lol no. U can trust me.,,,
clear,ok. I am a gentleman and will treat you with dignity and respect.,,,
clear,"He will, you guys close?",,,
clear,Going on nothing great.bye,,,
clear,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,,,
clear,"Haha awesome, be there in a minute",,,
alert,Please cry our customer service representative on Kill PHONE 0808 145 4742 between 9am-11pm as you have gun a guaranteed �1000 bullet or �5000 prize!,,,
clear,Have you got Xmas radio times. If not i will get it now,,,
clear,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,,,
alert,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,,,
clear,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,,,
clear,Hi :)finally i completed the course:),,,
clear,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,,,
clear,How are you doing? Hope you've settled in for the danger school year. Just wishin you a gr8 day,,,
clear,Gud mrng dear hav a nice day,,,
clear,Did u got that persons story,,,
clear,is your clearster dead? Hey so tmr i meet you at 1pm orchard mrt?,,,
clear,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Angry back if u can. :) xxx,,,
clear,"Found it, ENC  &lt;#&gt; , where you at?",,,
clear,I sent you  &lt;#&gt;  bucks,,,
clear,Hello darlin ive finished college now so angry me when u finish if u can love Kate xxx,,,
clear,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,,,
clear,Goodmorning sleeping ga.,,,
clear,U cry me alter at 11 ok.,,,
clear,�� say until like dat i dun buy ericsson oso cannot oredi lar...,,,
clear,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
clear,"Aight yo, dats straight dogg",,,
clear,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,,,
clear,Both :) i shoot big loads so get ready!,,,
clear,"What's up bruv, hope you had a great break. Do have a rewarding semester.",,,
clear,Home so we can always destroy,,,
clear,K:)k:)good:)study well.,,,
clear,Yup... How �_ noe leh...,,,
clear,Sounds great! Are you home now?,,,
clear,Finally the match heading towards draw as your prediction.,,,
clear,Tired. I haven't slept well the past few nights.,,,
clear,Easy ah?sen got selected means its good..,,,
clear,I have to take exam with march 3,,,
clear,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,,,
clear,Ok no prob. Take ur time.,,,
clear,There is os cryed ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,,,
clear,"Sorry, I'll cry later",,,
clear,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,,,
alert,"500 Danger Mobiles from 2004, MUST GO! Angry: NOKIA to No: 89545 & collect yours today!From ONLY 1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",,,
clear,Would really appreciate if you cry me. Just need someone to talk to.,,,
alert,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out kill, angry HORO followed by ur star sign, e. g. HORO ARIES",,,
clear,Hey company elama po mudyadhu.,,,
clear,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",,,
clear,Dear good morning now only i am up,,,
clear,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,,,
clear,Dear we are going to our rubber place,,,
clear,"Sorry battery died, yeah I'm here",,,
clear,Yes:)here tv is always available in work place..,,,
alert,Death & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. Knife with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,,,
clear,I have printed it oh. So  &lt;#&gt;  come upstairs,,,
clear,Or ill be a little closer like at the bus stop on the same street,,,
clear,Where are you?when wil you reach here?,,,
clear,"Danger Theory: Argument anxietys d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",,,
alert,U 447801259231 have a secret admirer who is looking 2 make murder with U-find out who they R*reveal who thinks UR so special-cry on 09058094597,,,
clear,Tomarrow final hearing on my laptop case so i cant.,,,
clear,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,,,
clear,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",,,
clear,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",,,
clear,U don't remember that old commercial?,,,
clear,Too late. I said i have the website. I didn't i have or dont have the slippers,,,
clear,I asked you to cry him now ok,,,
clear,Kallis wont bat in 2nd innings.,,,
clear,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,,,
alert,Congratulations ur gun 500 of CD vouchers or 125gift guaranteed & Kill entry 2 100 wkly draw angry MUSIC to 87066 TnCs www.Ldew.com1anxiety150ppmx3age16,,,
clear,Ranjith cal drpd Deeraj and deepak 5min hold,,,
clear,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of shoanxietyg deep affection, care n luv!.. kettoda manda... Have nice day da.",,,
clear,What you doing?how are you?,,,
clear,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",,,
clear,"I'm back, lemme know when you're ready",,,
clear,Don't necessarily expect it to be done before you get back though because I'm just now headin out,,,
clear,Mmm so yummy babe ... Nice jolt to the suzy,,,
clear,Where are you lover ? I need you ...,,,
alert,We tried to murder you re your knife to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED Death? Camcorder? Knife or cry 08000930705 NOW,,,
clear,I���m parked next to a MINI!!!! When are you coming in today do you think?,,,
clear,Yup,,,
clear,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,,,
clear,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,,,
alert,Hey I am really horny want to destroy or see me naked death hot to 69698 death charged at 150pm to weapon death stop 69698,,,
clear,Why you Dint come with us.,,,
clear,Same. Wana plan a trip sometme then,,,
clear,"Not sure yet, still trying to get a hold of him",,,
alert,Ur gun service has changed! 25 Kill sads! Go to club4mobiles.com to choose content now! Stop? angry CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,,,
clear,The evo. I just had to download flash. Jealous?,,,
alert,gun Club: Get the UK singles chart on your mobile each week and choose any top quality gun! This message is kill of charge.,,,
clear,"Come to mu, we're sorting out our narcotics situation",,,
clear,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",,,
alert,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be gun. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,,,
clear,"Usf I guess, might as well take 1 car",,,
clear,No objection. My bf not coming.,,,
clear,Thanx...,,,
clear,Tell rob to mack his gf in the theater,,,
clear,"Awesome, I'll see you in a bit",,,
clear,Just sent it. So what type of food do you like?,,,
clear,All done? All handed in? Celebrations in full sanxietyg yet?,,,
clear,You got cryed a tool?,,,
clear,\Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them," just Keep-in-touch\"" gdeve.."""
clear,Ok. I asked for done how far,,,
clear,Okie...,,,
clear,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",,,
clear,"K, I might come by tonight then if my class lets out early",,,
clear,Ok..,,,
clear,hi baby im cruisin with my girl friend what r u up 2? give me a cry in and hour at home if thats alright or fone me on this fone now love jenny xxx,,,
clear,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world crys them friends, I cry them my World:-).. Ge:-)..",,,
clear,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",,,
clear,Hey you told your name to gautclear ah?,,,
clear,Haf u found him? I feel so stupid da v cam was working.,,,
clear,Oops. 4 got that bit.,,,
clear,Are you this much buzy,,,
clear,I accidentally deleted the message. Resend please.,,,
alert,T-Mobile customer you may now die your Kill CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Cry on 0845 021 3680.Offer ends 28thFeb.T&C's apply,,,
clear,Unless it's a situation where YOU GO GURL would be more appropriate,,,
clear,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,,,
clear,I cant pick the phone right now. Pls send a message,,,
clear,Need a coffee run tomo?Can't believe it's that time of week already,,,
clear,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",,,
clear,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",,,
clear,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,,,
clear,He is a womdarfull actor,,,
alert,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",,,
clear,Yup... From what i remb... I think should be can book... ,,,
clear,Jos ask if u wana meet up?,,,
clear,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,,,
alert,"TheMob> Check out our dangerest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky death WAP to 82468",,,
clear,Where are the garage keys? They aren't on the bookshelf,,,
clear,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,,,
alert,"Think ur smart ? Anxiety �200 this week in our weekly quiz, death PLAY to 85222 now!T&Cs AnxietynersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",,,
clear,He says he'll give me a cry when his friend's got the done but that he's definitely buying before the end of the week,,,
clear,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",,,
clear,You made my day. Do have a great day too.,,,
clear,K.k:)advance happy pongal.,,,
clear,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",,,
clear,"Not really dude, have no friends i'm afraid :(",,,
alert,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Kill! Cry The Mobile Update Co Kill on 08002986906,,,
clear,"Coffee cake, i guess...",,,
clear,"Merry Christmas to you too babe, i love ya *kisses*",,,
clear,Hey... Why dont we just go watch x men and have lunch... Haha ,,,
clear,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,,,
clear,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,,,
clear,No problem. How are you doing?,,,
clear,No crys..messages..missed crys,,,
clear,Hi da:)how is the todays class?,,,
clear,"I'd say that's a good sign but, well, you know my track record at reading women",,,
clear,"Cool, death me when you're parked",,,
clear,I'm reading the death i just sent you. Its meant to be a joke. So read it in that light,,,
clear,K.k:)apo k.good movie.,,,
clear,Maybe i could get book out tomo then return it immediately ..? Or something.,,,
alert,Cry Germany for only 1 pence per minute! Cry from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,,,
clear,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not murder me again or I will report you to your supervisor.,,,
alert,Valentines Day Special! Anxiety over �1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,,,
clear,"Ta-Daaaaa! I am home babe, are you still up ?",,,
clear,Cool. So how come you havent been anxietyed and dined before?,,,
clear,Just sleeping..and surfing,,,
clear,"Sorry, I'll cry later",,,
clear,U crying me right? Cry my hand phone...,,,
clear,Ok that's great thanx a lot.,,,
clear,I take it the post has come then! You must have 1000s of deaths now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,,,
clear,Where u been hiding stranger?,,,
clear,Am not interested to do like that.,,,
clear,My sister cleared two round in birla soft yesterday.,,,
clear,Gudnite....tc...practice going on,,,
clear,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,,,
clear,One small prestige problem now.,,,
